"Producto que coincide ","Objetivos de productos","Añadido como","Impresiones","Clics","Porcentaje de clics (CTR)","Gasto(EUR)","CPC(EUR)","Pedidos","Ventas(EUR)","ACOS","ROAS","Ratio de conversión"
"libros para 15 años","loose-match","","1","1","100,00",0.34,0.34,"0",0,,"0.0","0.0"
"libros para ninas de 12-15 anos","loose-match","","30","1","3,33",0.59,0.59,"0",0,,"0.0","0.0"
"libro para adolescentes 15 años","loose-match","","2","1","50,00",2.01,2.01,"0",0,,"0.0","0.0"
"8401022169","substitutes","","52","1","1,92",0.62,0.62,"0",0,,"0.0","0.0"
"libros para jóvenes 20 años","loose-match","","2","1","50,00",1.26,1.26,"0",0,,"0.0","0.0"
"libros 12 años","loose-match","","11","1","9,09",0.35,0.35,"0",0,,"0.0","0.0"
"libros juveniles 12 años","loose-match","","48","7","14,58",8.28,1.18,"0",0,,"0.0","0.0"
"libros para adolescentes de 15 años","loose-match","","4","2","50,00",1.84,0.92,"0",0,,"0.0","0.0"
"841231896x","substitutes","","18","1","5,56",0.1,0.1,"0",0,,"0.0","0.0"
"libros fantasia","loose-match","","40","1","2,50",0.69,0.69,"0",0,,"0.0","0.0"
"8445009974","substitutes","","1","1","100,00",0.55,0.55,"0",0,,"0.0","0.0"
"8492918683","substitutes","","4","1","25,00",0.24,0.24,"0",0,,"0.0","0.0"
"libros de lectura para adolescentes","loose-match","","2","1","50,00",1.16,1.16,"0",0,,"0.0","0.0"
"libros para niños de 15 años","loose-match","","2","1","50,00",0.58,0.58,"0",0,,"0.0","0.0"
"nemesis","loose-match","","4","1","25,00",0.18,0.18,"0",0,,"0.0","0.0"
"libros juveniles 13 años","loose-match","","3","1","33,33",2.94,2.94,"0",0,,"0.0","0.0"
"libros adolescentes mas vendidos","loose-match","","7","1","14,29",0.63,0.63,"0",0,,"0.0","0.0"
"8424668170","substitutes","","16","1","6,25",0.13,0.13,"0",0,,"0.0","0.0"
"8417854312","substitutes","","141","1","0,71",0.55,0.55,"0",0,,"0.0","0.0"
"libro para adolescentes","loose-match","","10","1","10,00",0.75,0.75,"0",0,,"0.0","0.0"
"8417347976","substitutes","","10","1","10,00",0.48,0.48,"0",0,,"0.0","0.0"
"libros juveniles","loose-match","Palabra clave neg.: exacta neg.","2530","37","1,46",32.45,0.88,"1",15.99,"202.93933708567852","0.49275808936825893","2.7027027027027026"
"840826740x","substitutes","","7","1","14,29",0.3,0.3,"0",0,,"0.0","0.0"
"libros para adolescentes de 13 años","loose-match","","4","1","25,00",1.16,1.16,"0",0,,"0.0","0.0"
"8419241105","substitutes","","73","1","1,37",0.87,0.87,"0",0,,"0.0","0.0"
"libros para niños de 14 años","loose-match","","1","1","100,00",0.52,0.52,"0",0,,"0.0","0.0"
"libros para adolescentes de 17","loose-match","","1","1","100,00",2.3,2.3,"0",0,,"0.0","0.0"
"libro laura gallego","loose-match","","7","1","14,29",1.14,1.14,"0",0,,"0.0","0.0"
"libros adolescentes 13 años","loose-match","","4","1","25,00",0.7,0.7,"0",0,,"0.0","0.0"
"libro para adolescente","loose-match","","1","1","100,00",0.81,0.81,"0",0,,"0.0","0.0"
"libros jovenes adultos","loose-match","","6","1","16,67",0.93,0.93,"0",0,,"0.0","0.0"
"841919171x","substitutes","","24","1","4,17",0.67,0.67,"0",0,,"0.0","0.0"
"libros para niñas de 14 años","loose-match","","4","2","50,00",2.76,1.38,"0",0,,"0.0","0.0"
"lectura adolescentes","loose-match","","2","1","50,00",0.37,0.37,"0",0,,"0.0","0.0"
"libros para niñas de 13 años","loose-match","","3","2","66,67",5.43,2.71,"0",0,,"0.0","0.0"
"libros para niños de 13 años","loose-match","","1","1","100,00",0.57,0.57,"0",0,,"0.0","0.0"
"libros adolescentes 14 años","loose-match","","1","1","100,00",1.18,1.18,"0",0,,"0.0","0.0"
"libros juveniles fantasia y romance","loose-match","","3","1","33,33",0.39,0.39,"0",0,,"0.0","0.0"
"8417854126","substitutes","","22","1","4,55",0.06,0.06,"0",0,,"0.0","0.0"
"8445011073","substitutes","","2","1","50,00",0.07,0.07,"0",0,,"0.0","0.0"
"libro amor juvenil medieval","loose-match","","1","1","100,00",0.35,0.35,"0",0,,"0.0","0.0"
"libro niño 12 años mas vendidos","loose-match","","2","1","50,00",0.48,0.48,"0",0,,"0.0","0.0"
"libros adolescentes 12 años","loose-match","","3","2","66,67",2.5,1.25,"0",0,,"0.0","0.0"
"poesía","loose-match","","2","1","50,00",1.54,1.54,"0",0,,"0.0","0.0"
"libros+adolescentes+15+años","loose-match","","1","1","100,00",0.87,0.87,"0",0,,"0.0","0.0"
"8416858780","substitutes","","26","1","3,85",0.33,0.33,"0",0,,"0.0","0.0"
"libro juego adultos","loose-match","","1","1","100,00",0.46,0.46,"0",0,,"0.0","0.0"
"libro para adolescentes 13 años","loose-match","","1","1","100,00",0.85,0.85,"0",0,,"0.0","0.0"
"literatura juvenil","loose-match","","54","3","5,56",1.02,0.34,"0",0,,"0.0","0.0"
"libros niños 14 años","loose-match","","2","2","100,00",1.3,0.65,"0",0,,"0.0","0.0"
"846665884x","substitutes","","127","1","0,79",0.64,0.64,"0",0,,"0.0","0.0"
"1713577267","substitutes","","1","1","100,00",0.3,0.3,"0",0,,"0.0","0.0"
"8417854401","substitutes","","7","1","14,29",0.04,0.04,"0",0,,"0.0","0.0"
"libros adolescentes 16 años","loose-match","","1","1","100,00",0.41,0.41,"0",0,,"0.0","0.0"
"libros juveniles 12 a 14 años","loose-match","","2","1","50,00",0.67,0.67,"0",0,,"0.0","0.0"
"literatura juvenil 12 años","loose-match","","2","2","100,00",1.47,0.73,"0",0,,"0.0","0.0"
"laura gallego","loose-match","","188","4","2,13",6.07,1.52,"0",0,,"0.0","0.0"
"libros adolescentes aventuras","loose-match","","6","1","16,67",1.15,1.15,"0",0,,"0.0","0.0"
"8466661697","substitutes","","20","1","5,00",0.04,0.04,"0",0,,"0.0","0.0"
"libros para niños de 13 años mas vendidos","loose-match","","1","1","100,00",0.39,0.39,"0",0,,"0.0","0.0"
"libro novela juvenil","loose-match","","1","1","100,00",1.57,1.57,"0",0,,"0.0","0.0"
"8418359234","substitutes","","21","2","9,52",0.06,0.03,"0",0,,"0.0","0.0"
"literatura juvenil 16 años","loose-match","","2","1","50,00",0.51,0.51,"0",0,,"0.0","0.0"
"lectura juvenil 14 años","loose-match","","1","1","100,00",0.34,0.34,"0",0,,"0.0","0.0"
"8468316296","substitutes","","11","1","9,09",0.03,0.03,"0",0,,"0.0","0.0"
"libros de poesia","loose-match","","103","1","0,97",1.84,1.84,"0",0,,"0.0","0.0"
"libros adolescentes 15 años","loose-match","","1","1","100,00",0.49,0.49,"1",15.99,"3.0644152595372107","32.63265306122449","100.0"
"libro adolescentes","loose-match","","5","1","20,00",0.48,0.48,"0",0,,"0.0","0.0"
"8418798912","substitutes","","107","1","0,93",0.03,0.03,"0",0,,"0.0","0.0"
"8409377578","substitutes","","3","1","33,33",0.62,0.62,"0",0,,"0.0","0.0"
"8408257129","substitutes","","71","1","1,41",0.07,0.07,"0",0,,"0.0","0.0"
"8408268198","substitutes","","156","1","0,64",0.54,0.54,"0",0,,"0.0","0.0"
"libros más vendidos juveniles","loose-match","","3","1","33,33",0.79,0.79,"0",0,,"0.0","0.0"
"rick riordan","loose-match","","51","3","5,88",1.07,0.36,"0",0,,"0.0","0.0"
"novela fantasia","loose-match","","14","1","7,14",0.3,0.3,"0",0,,"0.0","0.0"
"8413622131","substitutes","","40","1","2,50",0.66,0.66,"0",0,,"0.0","0.0"
"libros 12 años mas vendidos","loose-match","","14","1","7,14",0.49,0.49,"0",0,,"0.0","0.0"
"libro juvenil 16 años","loose-match","","1","1","100,00",0.43,0.43,"0",0,,"0.0","0.0"
"8466667008","substitutes","","44","1","2,27",0.87,0.87,"0",0,,"0.0","0.0"
"juvenil","loose-match","","2","1","50,00",1.76,1.76,"0",0,,"0.0","0.0"
"libros para ni o 13 a os","loose-match","","2","1","50,00",0.56,0.56,"0",0,,"0.0","0.0"
"libros para adolescentes de 12 años","loose-match","","18","5","27,78",8.46,1.69,"0",0,,"0.0","0.0"
"libros 14 años","loose-match","","3","2","66,67",0.65,0.33,"0",0,,"0.0","0.0"
"8418027444","substitutes","","5","2","40,00",0.11,0.06,"0",0,,"0.0","0.0"
"libro para chico joven","loose-match","","3","1","33,33",0.14,0.14,"0",0,,"0.0","0.0"
"libro para 13 años","loose-match","","3","2","66,67",1.08,0.54,"0",0,,"0.0","0.0"
"libros ninas adolescentes","loose-match","","115","1","0,87",0.22,0.22,"0",0,,"0.0","0.0"
"libros para adolescentes de amor","loose-match","","1","1","100,00",0.66,0.66,"0",0,,"0.0","0.0"
"libros juveniles 14 años","loose-match","","94","7","7,45",3.67,0.52,"0",0,,"0.0","0.0"
"8417424342","substitutes","","192","3","1,56",1.59,0.53,"0",0,,"0.0","0.0"
"libros de laura gallego","loose-match","","1","1","100,00",2.09,2.09,"0",0,,"0.0","0.0"
"libro juvenil 12 años","loose-match","","8","1","12,50",0.79,0.79,"0",0,,"0.0","0.0"
"libro niño 16 años","loose-match","","2","1","50,00",1.2,1.2,"0",0,,"0.0","0.0"
"8418359285","substitutes","","46","1","2,17",0.15,0.15,"0",0,,"0.0","0.0"
"libros fantasía adolescentes","loose-match","","2","1","50,00",2.23,2.23,"0",0,,"0.0","0.0"
"libros juveniles 12 años mas vendidos","loose-match","","1","1","100,00",0.78,0.78,"0",0,,"0.0","0.0"
"libros de 13 años","loose-match","","6","1","16,67",0.51,0.51,"0",0,,"0.0","0.0"
"libro adolescentes mas vendidos","loose-match","","307","1","0,33",0.4,0.4,"0",0,,"0.0","0.0"
"libros niños 12 años mas vendidos","loose-match","","49","4","8,16",2.11,0.53,"0",0,,"0.0","0.0"
"libros novela juvenil espada","loose-match","","1","1","100,00",0.3,0.3,"0",0,,"0.0","0.0"
"libro adolescentes 13 años","loose-match","","1","1","100,00",0.64,0.64,"0",0,,"0.0","0.0"
"12 años","loose-match","","4","1","25,00",0.65,0.65,"0",0,,"0.0","0.0"
"libros para niñas adolescentes","loose-match","","1","1","100,00",1.93,1.93,"0",0,,"0.0","0.0"
"8467597429","substitutes","","2","1","50,00",0.08,0.08,"0",0,,"0.0","0.0"
"b0bp4n1lgk","substitutes","","36","1","2,78",0.41,0.41,"0",0,,"0.0","0.0"
"8490439338","substitutes","","7","1","14,29",0.1,0.1,"0",0,,"0.0","0.0"
"8469808915","substitutes","","4","1","25,00",0.09,0.09,"0",0,,"0.0","0.0"
"libros para niños de 12 años","loose-match","","15","1","6,67",0.6,0.6,"0",0,,"0.0","0.0"
"8418711442","substitutes","","16","1","6,25",0.48,0.48,"0",0,,"0.0","0.0"
"8416240701","substitutes","","11","1","9,09",0.04,0.04,"0",0,,"0.0","0.0"
"841848344x","substitutes","","91","1","1,10",0.03,0.03,"0",0,,"0.0","0.0"
"libros juveniles accion","loose-match","","1","1","100,00",0.66,0.66,"0",0,,"0.0","0.0"
"libros electronicos amazon kindle","loose-match","","15","2","13,33",1.51,0.76,"0",0,,"0.0","0.0"
"8418359676","substitutes","","50","1","2,00",0.06,0.06,"0",0,,"0.0","0.0"
"libros 12 años mas vendidos niños","loose-match","","23","7","30,43",11.05,1.58,"2",33.84,"32.65366430260047","3.062443438914028","28.57142857142857"
"8419191418","substitutes","","54","1","1,85",0.14,0.14,"0",0,,"0.0","0.0"
"libro juvenil 13 años","loose-match","","1","1","100,00",0.43,0.43,"0",0,,"0.0","0.0"
"libros para adolescentes","loose-match","","393","11","2,80",9.55,0.87,"0",0,,"0.0","0.0"
"841314681x","substitutes","","28","1","3,57",0.08,0.08,"0",0,,"0.0","0.0"
"el senor de los anillos libros","loose-match","","20","1","5,00",1.91,1.91,"0",0,,"0.0","0.0"
"libros para jóvenes","loose-match","","3","2","66,67",0.8,0.4,"0",0,,"0.0","0.0"
"8408253840","substitutes","","51","1","1,96",0.05,0.05,"0",0,,"0.0","0.0"
"libros de novelas para adolescentes","loose-match","","1","1","100,00",0.52,0.52,"0",0,,"0.0","0.0"
"libros juveniles 15 años","loose-match","","1","1","100,00",0.32,0.32,"0",0,,"0.0","0.0"
"novela juvenil adolescente","loose-match","","1","1","100,00",1.7,1.7,"0",0,,"0.0","0.0"
"846758579x","substitutes","","2","1","50,00",0.28,0.28,"0",0,,"0.0","0.0"
"libros para adolescentes 12 años","loose-match","","3","1","33,33",0.92,0.92,"0",0,,"0.0","0.0"
"8420459259","substitutes","","50","1","2,00",0.87,0.87,"0",0,,"0.0","0.0"
"libro de historia para adolescentes","loose-match","","4","2","50,00",1.95,0.97,"0",0,,"0.0","0.0"
"libro de aventuras","loose-match","","6","2","33,33",2.57,1.28,"0",0,,"0.0","0.0"
"8408239457","substitutes","","458","2","0,44",1.43,0.71,"0",0,,"0.0","0.0"
"la espada libros novela juvenil","loose-match","","1","1","100,00",0.28,0.28,"0",0,,"0.0","0.0"
"8408266918","substitutes","","531","2","0,38",0.3,0.15,"0",0,,"0.0","0.0"
"libro-juego","loose-match","","4","1","25,00",0.61,0.61,"0",0,,"0.0","0.0"
"libros 13 14 años","loose-match","","1","1","100,00",1.78,1.78,"0",0,,"0.0","0.0"
"libro juvenil chico","loose-match","","1","1","100,00",1.14,1.14,"0",0,,"0.0","0.0"
"b09jy83fvl","substitutes","","20","1","5,00",0.22,0.22,"0",0,,"0.0","0.0"
"libros para chicas adolescentes de 15 años","loose-match","","1","1","100,00",0.53,0.53,"0",0,,"0.0","0.0"
"literatura juvenil 14 años","loose-match","","3","2","66,67",0.76,0.38,"0",0,,"0.0","0.0"
"8417854282","substitutes","","17","1","5,88",0.72,0.72,"0",0,,"0.0","0.0"
"8408265342","substitutes","","75","1","1,33",0.24,0.24,"0",0,,"0.0","0.0"
"841885054x","substitutes","","3","1","33,33",0.18,0.18,"0",0,,"0.0","0.0"
"8418173726","substitutes","","62","1","1,61",0.46,0.46,"0",0,,"0.0","0.0"
"saga juvenil","loose-match","","2","1","50,00",2.75,2.75,"0",0,,"0.0","0.0"
"libros para niñas de 12-13 años","loose-match","","2","1","50,00",1.49,1.49,"0",0,,"0.0","0.0"
"8408239147","substitutes","","439","1","0,23",0.51,0.51,"0",0,,"0.0","0.0"
"libros adolescentes 17 años","loose-match","","2","1","50,00",0.51,0.51,"0",0,,"0.0","0.0"
