"Producto que coincide ","Objetivos de productos","Añadido como","Impresiones","Clics","Porcentaje de clics (CTR)","Gasto(EUR)","CPC(EUR)","Pedidos","Ventas(EUR)","ACOS","ROAS","Ratio de conversión"
"laura gallego libros","loose-match","","12","2","16,67",0.18,0.09,"0",0,,"0.0","0.0"
"b07flqf9v3","complements","","2","1","50,00",1.03,1.03,"0",0,,"0.0","0.0"
"un corte de rosas y espinas","loose-match","","8","1","12,50",0.24,0.24,"0",0,,"0.0","0.0"
"pack libros fantasia","loose-match","","12","1","8,33",0.86,0.86,"0",0,,"0.0","0.0"
"libros de novelas para adolescentes","loose-match","","1","1","100,00",0.76,0.76,"0",0,,"0.0","0.0"
"corte rosas y espinas","loose-match","","132","1","0,76",0.18,0.18,"0",0,,"0.0","0.0"
"juvenil","close-match","","191","7","3,66",3.41,0.49,"0",0,,"0.0","0.0"
"pluton ediciones","loose-match","","23","1","4,35",0.68,0.68,"0",0,,"0.0","0.0"
"libros juveniles","loose-match","","29","1","3,45",1.25,1.25,"0",0,,"0.0","0.0"
"b09l1pjcd8","complements","","16","1","6,25",0.4,0.4,"0",0,,"0.0","0.0"
"saga de acotar","loose-match","Palabra clave neg.: exacta neg.","43","1","2,33",0.04,0.04,"0",0,,"0.0","0.0"
"libros niños 13 años mas vendidos","loose-match","","2","1","50,00",0.39,0.39,"0",0,,"0.0","0.0"
"saga acotar 3","loose-match","","35","1","2,86",0.08,0.08,"0",0,,"0.0","0.0"
"percy+jackson+libros","loose-match","","2","1","50,00",0.23,0.23,"0",0,,"0.0","0.0"
"libros adolescentes 13 años","loose-match","","1","1","100,00",0.61,0.61,"0",0,,"0.0","0.0"
"b014oc3gaa","complements","","8","1","12,50",1.24,1.24,"0",0,,"0.0","0.0"
"b09mz8d61h","complements","","2","1","50,00",0.41,0.41,"0",0,,"0.0","0.0"
"trono de cristal en espanol","loose-match","","18","1","5,56",0.02,0.02,"0",0,,"0.0","0.0"
"b01bfb1tvg","complements","","3","1","33,33",0.62,0.62,"0",0,,"0.0","0.0"
"verdade","loose-match","Palabra clave neg.: exacta neg.","4","1","25,00",2.43,2.43,"0",0,,"0.0","0.0"
"b0bj9s7vjf","complements","","6","1","16,67",0.49,0.49,"0",0,,"0.0","0.0"
"libros 14 años","loose-match","","1","1","100,00",0.62,0.62,"0",0,,"0.0","0.0"
"libros 12 años mas vendidos niños","loose-match","","2","1","50,00",0.48,0.48,"0",0,,"0.0","0.0"
"libros joven adulto","loose-match","","42","1","2,38",0.28,0.28,"0",0,,"0.0","0.0"
